experiment,dataset,K,category,method,variance,risk,return,number_of_selected_assets,selected_indices,selected_tickers,selected_assets,solve_time,mip_gap,status,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
OR-Library,port4,10,Genetic Algorithm,genetic_algorithm,0.0001585697267629,0.0125924472110458,0.0028731336216411,10,"[4, 7, 10, 33, 35, 36, 43, 50, 61, 63]",,,5.125479000038467,,2.0,98.0,98.0,False,none
OR-Library,port4,10,Gurobi Cardinality,cardinality,0.0001469811543722,0.0121235784474831,0.0028731326530612,10,"[10, 35, 41, 44, 61, 63, 64, 72, 85, 95]",,,26.669458150863647,0.0,2.0,98.0,98.0,False,none
OR-Library,port4,10,No-Sparsity Baseline,no_sparsity,0.000131772454274,0.0114792183651176,0.0028731326572503,39,"[1, 3, 4, 7, 9, 10, 11, 15, 17, 18, 22, 27, 32, 33, 35, 36, 37, 40, 41, 43, 44, 46, 50, 51, 52, 53, 61, 63, 64, 65, 71, 72, 82, 85, 87, 88, 91, 92, 95]",,,0.008213996887207,,,98.0,98.0,False,none
OR-Library,port4,10,Simulated Annealing,simulated_annealing,0.0001878444297058,0.0137056349617911,0.0028731330774012,10,"[10, 13, 22, 24, 44, 64, 67, 79, 87, 95]",,,0.982594707980752,,2.0,98.0,98.0,False,none
OR-Library,port4,20,Best Sparse,cardinality,0.0001328123946783,0.0115244260021217,0.0028731326530612,20,"[3, 4, 10, 18, 32, 33, 35, 36, 41, 43, 44, 50, 51, 61, 63, 64, 71, 72, 85, 95]",,,0.2588210105895996,0.0,2.0,98.0,98.0,False,none
OR-Library,port4,20,Genetic Algorithm,genetic_algorithm,0.0001394039453247,0.0118069447921432,0.0028731330792539,20,"[0, 1, 3, 4, 10, 18, 33, 35, 36, 39, 43, 53, 60, 61, 63, 64, 65, 71, 72, 85]",,,16.656562875024974,,2.0,98.0,98.0,False,none
OR-Library,port4,20,Gurobi Cardinality,cardinality,0.0001328123946783,0.0115244260021217,0.0028731326530612,20,"[3, 4, 10, 18, 32, 33, 35, 36, 41, 43, 44, 50, 51, 61, 63, 64, 71, 72, 85, 95]",,,0.2588210105895996,0.0,2.0,98.0,98.0,False,none
OR-Library,port4,20,No-Sparsity Baseline,no_sparsity,0.000131772454274,0.0114792183651176,0.0028731326572503,39,"[1, 3, 4, 7, 9, 10, 11, 15, 17, 18, 22, 27, 32, 33, 35, 36, 37, 40, 41, 43, 44, 46, 50, 51, 52, 53, 61, 63, 64, 65, 71, 72, 82, 85, 87, 88, 91, 92, 95]",,,0.0081098079681396,,,98.0,98.0,False,none
OR-Library,port4,20,Simulated Annealing,simulated_annealing,0.0001606927716842,0.0126764652677407,0.0028731326554995,20,"[4, 9, 10, 16, 19, 36, 37, 41, 43, 50, 51, 55, 61, 64, 65, 70, 71, 82, 84, 85]",,,2.6419058749452233,,2.0,98.0,98.0,False,none
OR-Library,port5,5,Best Sparse,cardinality,0.0003173597700228,0.0178145942985744,8.176027905076564e-05,5,"[59, 61, 97, 128, 224]",,,0.1098439693450927,0.0,2.0,225.0,225.0,False,none
