dataset,K,method,best_variance,average_variance,std_variance,best_risk,average_risk,average_solve_time,best_return,number_of_selected_assets,best_selected_indices,mip_gap,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port3,20,cardinality,0.00025254157970234885,0.00025254157970234885,0.0,0.015891556868423837,0.015891556868423837,0.004099130630493164,0.0029939666666666666,17,"[1, 2, 6, 8, 9, 10, 11, 14, 16, 19, 20, 21, 22, 23, 24, 25, 29]",0.0,2.0,173.83161300001666,426.16838699998334,False,89,30,True,first_30_assets
port3,20,genetic_algorithm,0.00025255009506470257,0.00025255962179198234,1.3439222932538849e-08,0.015891824787125693,0.015892124515407103,13.15405480536477,0.0029939667091894327,20,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 14, 16, 19, 21, 22, 23, 24, 25, 26, 28, 29]",,2.0,173.85105662501883,426.1489433749812,False,89,30,True,first_30_assets
port3,20,simulated_annealing,0.0002526152077339908,0.0002528795550134157,2.888535944051133e-07,0.015893873276643135,0.015902184521493588,2.61710765294265,0.002993967012696642,20,"[1, 2, 3, 6, 8, 9, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 29]",,2.0,213.32477175001986,386.67522824998014,False,89,30,True,first_30_assets
port4,5,no_sparsity,0.00019145710970699595,0.00019145710970699595,0.0,0.013836802727039074,0.013836802727039074,0.0010368824005126953,0.002864933401374888,26,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 29]",,,221.1877401249949,378.8122598750051,False,98,30,True,first_30_assets
port4,5,cardinality,0.00024136572029059247,0.00024136572029059247,0.0,0.015535949288363183,0.015535949288363183,0.5671596527099609,0.0028649333333333332,5,"[4, 7, 8, 10, 19]",0.0,2.0,221.20444083306938,378.7955591669306,False,98,30,True,first_30_assets
port4,5,genetic_algorithm,0.0002413658103606746,0.00024284235568981606,2.0881504299304795e-06,0.015535952187126304,0.01558325640907534,2.566060069637994,0.0028649365705343817,5,"[4, 7, 8, 10, 19]",,2.0,221.79431791603565,378.20568208396435,False,98,30,True,first_30_assets
port4,5,simulated_annealing,0.0002558885574374208,0.00027097763710004177,1.224377864807578e-05,0.015996517040825504,0.016457191281623176,0.4986855973256752,0.0029994994751364403,5,"[4, 7, 10, 15, 18]",,2.0,229.50169154105242,370.4983084589476,False,98,30,True,first_30_assets
port4,10,no_sparsity,0.00019145710970699595,0.00019145710970699595,0.0,0.013836802727039074,0.013836802727039074,0.0010979175567626953,0.002864933401374888,26,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 29]",,,231.00376379105728,368.9962362089427,False,98,30,True,first_30_assets
port4,10,cardinality,0.00020467119873387242,0.00020467119873387242,0.0,0.01430633421718759,0.01430633421718759,0.33130598068237305,0.0028649333333333337,10,"[0, 1, 3, 4, 7, 8, 10, 12, 18, 29]",0.0,2.0,231.02088325005025,368.97911674994975,False,98,30,True,first_30_assets
port4,10,genetic_algorithm,0.00020467119931679638,0.00020553918668161594,8.458491494272568e-07,0.01430633423756052,0.014336607592894124,4.621582569049981,0.0028649333589157184,10,"[0, 1, 3, 4, 7, 8, 10, 12, 18, 29]",,2.0,231.3741842500167,368.6258157499833,False,98,30,True,first_30_assets
port4,10,simulated_annealing,0.00021306627798501428,0.00022052051793196686,6.874376751564948e-06,0.014596789989070004,0.014848138473929864,0.9599034723360091,0.002864933378672038,10,"[0, 1, 3, 7, 8, 9, 10, 18, 20, 29]",,2.0,245.25354408309795,354.74645591690205,False,98,30,True,first_30_assets
port4,20,no_sparsity,0.00019145710970699595,0.00019145710970699595,0.0,0.013836802727039074,0.013836802727039074,0.0010349750518798828,0.002864933401374888,26,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 29]",,,248.14003495802172,351.8599650419783,False,98,30,True,first_30_assets
port4,20,cardinality,0.00019162988327771314,0.00019162988327771314,0.0,0.013843044581222482,0.013843044581222482,0.0213010311126709,0.0028649333333333332,20,"[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 22, 24, 27, 29]",0.0,2.0,248.15784475009423,351.8421552499058,False,98,30,True,first_30_assets
port4,20,genetic_algorithm,0.00019162988329691398,0.00019163952513701502,1.3635621037147967e-08,0.013843044581916002,0.013843392824537963,13.32152881931203,0.002864933334148108,20,"[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 22, 24, 27, 29]",,2.0,248.19610279100016,351.80389720899984,False,98,30,True,first_30_assets
port4,20,simulated_annealing,0.0001939334965856899,0.0001960010676354348,2.110510796658433e-06,0.013926000739109915,0.013999835789814017,2.6480830693229414,0.002864933393264028,20,"[0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 15, 17, 18, 19, 20, 22, 24, 26, 27, 28]",,2.0,288.1795777080115,311.8204222919885,False,98,30,True,first_30_assets
port5,5,no_sparsity,0.0005673659704027339,0.0005673659704027339,0.0,0.02381944521609884,0.02381944521609884,0.0010449886322021484,-3.439878538798368e-05,7,"[4, 7, 8, 10, 17, 18, 27]",,,296.15805504110176,303.84194495889824,False,225,30,True,first_30_assets
port5,5,cardinality,0.0005718168709409129,0.0005718168709409129,0.0,0.023912692674412744,0.023912692674412744,0.011704683303833008,6.0529524115867334e-05,5,"[8, 10, 17, 18, 27]",0.0,2.0,296.1760812080465,303.8239187919535,False,225,30,True,first_30_assets
port5,5,genetic_algorithm,0.0005718168709630742,0.0005721130006648866,4.187906405246528e-07,0.023912692674876123,0.0239188821654629,2.4270307360372194,6.052238128009625e-05,5,"[8, 10, 17, 18, 27]",,2.0,296.2050356660038,303.7949643339962,False,225,30,True,first_30_assets
port5,5,simulated_annealing,0.0005855070906583543,0.0005910959930389278,7.88287207203903e-06,0.02419725378340183,0.024311927803624855,0.4857804166773955,0.00018254363495752443,5,"[8, 10, 24, 25, 27]",,2.0,303.49625491607003,296.50374508392997,False,225,30,True,first_30_assets
port5,10,no_sparsity,0.0005673659704027339,0.0005673659704027339,0.0,0.02381944521609884,0.02381944521609884,0.0010581016540527344,-3.439878538798368e-05,7,"[4, 7, 8, 10, 17, 18, 27]",,,304.9612518750364,295.0387481249636,False,225,30,True,first_30_assets
port5,10,cardinality,0.0005673656240672143,0.0005673656240672143,0.0,0.023819437946081226,0.023819437946081226,0.0034470558166503906,-3.439980398780963e-05,7,"[4, 7, 8, 10, 17, 18, 27]",0.0,2.0,304.9795908750966,295.0204091249034,False,225,30,True,first_30_assets
port5,10,genetic_algorithm,0.0005673656243052493,0.0005673656248217557,6.20584028603385e-13,0.023819437951077882,0.023819437961919997,4.609689236346942,-3.4399751777464276e-05,10,"[0, 4, 5, 7, 8, 10, 14, 17, 18, 27]",,2.0,304.99975150008686,295.00024849991314,False,225,30,True,first_30_assets
port5,10,simulated_annealing,0.0005685890639712235,0.0005711464441404123,1.8227497201823165e-06,0.023845105660726763,0.023898639884599126,0.9311038890155032,-4.697567307268586e-05,10,"[2, 6, 7, 8, 10, 17, 18, 22, 25, 27]",,2.0,318.83622108306736,281.16377891693264,False,225,30,True,first_30_assets
port5,20,no_sparsity,0.0005673659704027339,0.0005673659704027339,0.0,0.02381944521609884,0.02381944521609884,0.0010519027709960938,-3.439878538798368e-05,7,"[4, 7, 8, 10, 17, 18, 27]",,,321.6401222080458,278.3598777919542,False,225,30,True,first_30_assets
port5,20,cardinality,0.0005673656240672143,0.0005673656240672143,0.0,0.023819437946081226,0.023819437946081226,0.002610921859741211,-3.439980398780963e-05,7,"[4, 7, 8, 10, 17, 18, 27]",0.0,2.0,321.6582589580212,278.3417410419788,False,225,30,True,first_30_assets
port5,20,genetic_algorithm,0.0005673656304539671,0.0005673656304607975,7.329458876016633e-15,0.023819438080147214,0.023819438080290592,13.108474596985616,-3.439969276104011e-05,20,"[0, 1, 2, 4, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 20, 22, 24, 27, 28]",,2.0,321.6791250410024,278.3208749589976,False,225,30,True,first_30_assets
port5,20,simulated_annealing,0.0005673656307687503,0.0005673656349656674,5.926816188334023e-12,0.023819438086754907,0.02381943817485348,2.66231911132733,-3.439976871671141e-05,20,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20, 22, 24, 25, 26, 27]",,2.0,361.01726700004656,238.98273299995344,False,225,30,True,first_30_assets
