dataset,K,method,best_variance,average_variance,std_variance,best_risk,average_risk,average_solve_time,best_return,number_of_selected_assets,best_selected_indices,mip_gap,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port2,20,simulated_annealing,0.0001687469077318075,0.00017337621102585105,3.338054499239011e-06,0.012990262034763098,0.013166626397135032,2.879213083302602,0.00200877405404416,20,"[0, 3, 10, 12, 14, 17, 18, 19, 24, 28, 32, 34, 39, 47, 50, 52, 64, 67, 72, 81]",,2.0,144.30858479102608,455.6914152089739,False,85,85,False,none
port3,5,no_sparsity,0.0001992801195208096,0.0001992801195208096,0.0,0.014116661061342005,0.014116661061342005,0.006139039993286133,0.0026614270499076506,36,"[1, 2, 11, 16, 19, 22, 23, 24, 25, 29, 32, 35, 40, 44, 45, 52, 54, 55, 58, 59, 60, 61, 62, 64, 65, 66, 70, 71, 72, 74, 75, 76, 81, 82, 84, 85]",,,152.97148199996445,447.02851800003555,False,89,89,False,none
port3,5,cardinality,0.00023844037075493592,0.00023844037075493592,0.0,0.015441514522705858,0.015441514522705858,7.010682821273804,0.0026614269662921346,5,"[1, 19, 40, 45, 61]",0.0,2.0,153.0621382909594,446.9378617090406,False,89,89,False,none
port3,5,genetic_algorithm,0.0002384408150212147,0.00024381374641010699,3.864203876228473e-06,0.015441528908149435,0.01561404370387906,2.5495512220077217,0.0026615245424729712,5,"[1, 19, 40, 45, 61]",,2.0,160.25069370795973,439.7493062920403,False,89,89,False,none
port3,5,simulated_annealing,0.00028862604276199257,0.00029580335020059495,8.216598908471923e-06,0.016988997697392056,0.01719729002609478,0.4921446529527505,0.0026614271053541265,5,"[8, 24, 36, 44, 45]",,2.0,167.90473062498495,432.09526937501505,False,89,89,False,none
port3,10,no_sparsity,0.0001992801195208096,0.0001992801195208096,0.0,0.014116661061342005,0.014116661061342005,0.005964040756225586,0.0026614270499076506,36,"[1, 2, 11, 16, 19, 22, 23, 24, 25, 29, 32, 35, 40, 44, 45, 52, 54, 55, 58, 59, 60, 61, 62, 64, 65, 66, 70, 71, 72, 74, 75, 76, 81, 82, 84, 85]",,,169.38942387502175,430.61057612497825,False,89,89,False,none
port3,10,cardinality,0.00020686967494157722,0.00020686967494157722,0.0,0.014382964747977978,0.014382964747977978,1.0793938636779785,0.0026614269662921346,10,"[1, 19, 24, 29, 40, 45, 55, 61, 74, 82]",0.0,2.0,169.48181058303453,430.51818941696547,False,89,89,False,none
port3,10,genetic_algorithm,0.0002121133425108852,0.00021606405453653468,2.806051278376371e-06,0.014564111456277902,0.014698806179445184,4.696798416979921,0.0026614285963361614,10,"[1, 2, 19, 22, 24, 29, 40, 45, 55, 61]",,2.0,170.6823311659973,429.3176688340027,False,89,89,False,none
port3,10,simulated_annealing,0.00024327995205604885,0.0002523821678446149,6.438034465533677e-06,0.015597434149758378,0.01588523623765152,0.9443162636598572,0.002661427791064091,10,"[3, 5, 6, 19, 36, 45, 61, 63, 75, 82]",,2.0,184.7836578330025,415.2163421669975,False,89,89,False,none
port3,20,no_sparsity,0.0001992801195208096,0.0001992801195208096,0.0,0.014116661061342005,0.014116661061342005,0.005836009979248047,0.0026614270499076506,36,"[1, 2, 11, 16, 19, 22, 23, 24, 25, 29, 32, 35, 40, 44, 45, 52, 54, 55, 58, 59, 60, 61, 62, 64, 65, 66, 70, 71, 72, 74, 75, 76, 81, 82, 84, 85]",,,187.62229624995962,412.3777037500404,False,89,89,False,none
